Height,Age,Income,RomanticGestureScore,CompatibilityScore,CommunicationScore,DistanceKM,Response,AgeCategory
180,43,5511,6,5,7,51,0,Middle-aged
159,50,19546,3,7,9,18,1,Middle-aged
166,52,10082,1,1,7,41,0,Senior
177,58,11860,6,7,8,99,0,Senior
180,49,5252,10,8,5,61,0,Middle-aged
175,65,9133,1,3,1,24,1,Senior
158,56,13820,5,4,3,47,1,Senior
171,70,8476,0,4,3,28,0,Senior
168,47,14178,6,1,7,36,1,Middle-aged
178,79,6725,6,4,4,21,1,Senior
163,50,7093,3,8,3,56,0,Middle-aged
157,30,18765,3,3,7,69,0,Young
158,42,6701,9,9,2,26,1,Middle-aged
171,76,13496,4,2,1,54,0,Senior
160,21,10834,1,6,3,87,1,Young
172,59,17270,8,7,0,44,1,Senior
150,60,15472,9,9,0,33,0,Senior
163,46,9340,3,5,4,26,1,Middle-aged
154,54,19032,10,5,0,22,1,Senior
170,21,7807,8,4,3,20,0,Young
175,58,16078,2,5,7,2,1,Senior
163,56,16646,8,8,7,41,0,Senior
153,40,11301,0,1,1,54,1,Middle-aged
171,77,12572,6,9,2,57,0,Senior
172,24,6024,3,2,2,18,1,Young
174,71,17504,6,0,0,5,1,Senior
150,64,7975,9,3,2,96,1,Senior
180,40,13698,5,1,7,46,0,Middle-aged
171,48,9856,3,5,5,75,0,Middle-aged
172,39,16143,3,0,4,21,1,Middle-aged
168,80,11724,7,7,9,22,1,Senior
157,57,14245,6,9,8,3,1,Senior
164,39,15866,3,5,6,9,0,Middle-aged
170,69,7567,10,8,5,2,0,Senior
164,44,15096,5,5,4,28,1,Middle-aged
158,21,17562,5,9,4,34,0,Young
170,76,9587,0,6,9,53,1,Senior
158,51,9922,1,4,8,59,1,Senior
159,45,10046,3,7,9,10,1,Middle-aged
169,25,7894,5,7,5,83,1,Young
174,60,12203,5,9,3,93,0,Senior
170,76,12478,0,8,3,2,0,Senior
175,22,10274,7,5,3,48,0,Young
158,52,14292,1,0,5,6,1,Senior
152,20,16853,4,8,0,44,1,
180,70,14828,3,2,8,54,0,Senior
169,24,14647,4,8,1,71,1,Young
174,32,8613,4,6,1,36,1,Middle-aged
175,38,5038,9,2,4,8,0,Middle-aged
160,31,19574,7,8,3,83,0,Middle-aged
155,67,8084,9,6,2,10,1,Senior
151,44,11265,6,6,4,33,0,Middle-aged
156,76,17431,8,6,6,91,1,Senior
167,70,15923,10,1,9,93,1,Senior
176,54,11598,0,3,1,19,0,Senior
151,31,7415,5,9,5,18,0,Middle-aged
176,49,5758,5,7,3,51,1,Middle-aged
166,24,9342,1,1,1,23,1,Young
160,53,12066,10,3,0,1,0,Senior
176,41,8116,7,9,7,59,1,Middle-aged
161,58,5764,5,7,4,3,1,Senior
176,32,15614,10,2,9,10,0,Middle-aged
168,76,14506,9,5,1,71,0,Senior
171,66,17494,8,1,7,49,1,Senior
173,73,17187,9,7,2,56,0,Senior
174,22,19306,4,7,6,90,1,Young
156,79,19854,6,0,1,16,1,Senior
169,72,9029,5,2,6,39,0,Senior
155,39,19577,10,1,3,96,0,Middle-aged
170,50,16885,4,6,9,76,1,Middle-aged
173,24,16377,5,6,0,44,0,Young
150,43,16058,3,3,4,8,1,Middle-aged
166,59,11445,2,7,3,8,0,Senior
178,73,12443,0,2,7,45,0,Senior
180,52,6317,0,8,0,11,0,Senior
160,27,5700,5,4,1,97,0,Young
171,43,12527,8,1,4,25,1,Middle-aged
175,69,9383,7,8,9,17,1,Senior
177,39,15393,1,0,9,95,0,Middle-aged
167,79,6593,8,7,1,83,0,Senior
170,35,19758,7,5,0,55,0,Middle-aged
166,69,17179,8,0,5,79,0,Senior
156,71,18137,3,3,9,56,0,Senior
166,31,9145,8,2,3,44,1,Middle-aged
169,32,14422,1,6,4,53,1,Middle-aged
158,64,11707,0,6,2,35,1,Senior
166,61,11997,8,5,9,39,0,Senior
169,58,12026,9,9,5,2,1,Senior
171,44,19997,7,9,3,98,1,Middle-aged
171,65,7612,6,7,5,25,1,Senior
177,51,19548,7,6,4,38,0,Senior
180,43,16329,0,3,1,68,1,Middle-aged
178,67,12399,8,6,3,80,0,Senior
157,66,6908,9,0,1,32,1,Senior
166,63,11954,10,2,4,79,0,Senior
156,28,18974,8,1,2,78,1,Young
150,59,19028,10,6,5,41,0,Senior
162,69,18631,8,8,4,79,0,Senior
179,42,6790,5,4,1,71,0,Middle-aged
172,69,13168,3,8,9,7,0,Senior
168,32,7928,1,7,7,72,1,Middle-aged
176,79,19248,10,0,5,83,0,Senior
173,78,14280,3,1,8,18,0,Senior
168,51,12681,6,5,2,17,1,Senior
179,69,10251,0,4,3,82,0,Senior
179,34,15573,8,6,7,83,1,Middle-aged
178,55,9127,2,8,6,77,1,Senior
166,68,9963,3,3,7,59,1,Senior
162,24,16137,4,7,8,11,0,Young
178,41,16761,2,3,7,51,0,Middle-aged
179,35,18554,3,2,7,7,1,Middle-aged
165,60,10311,4,1,5,27,0,Senior
157,29,14357,0,7,1,59,1,Young
168,43,18971,8,7,6,37,1,Middle-aged
167,37,13792,9,2,3,5,1,Middle-aged
150,68,7025,9,0,2,62,1,Senior
163,37,14776,3,5,3,72,1,Middle-aged
168,26,12815,8,4,3,74,0,Young
164,23,5987,3,7,2,90,1,Young
167,45,10310,0,5,8,79,0,Middle-aged
151,24,6965,4,3,2,55,0,Young
171,79,12316,8,9,1,16,0,Senior
177,74,19934,2,9,0,93,0,Senior
166,35,14631,4,1,0,92,0,Middle-aged
167,54,17807,2,7,4,74,1,Senior
179,45,19046,2,4,4,56,0,Middle-aged
155,37,5868,0,7,8,51,0,Middle-aged
168,48,7063,1,4,3,68,0,Middle-aged
180,42,19119,1,5,4,46,0,Middle-aged
153,72,6129,8,9,5,61,0,Senior
150,33,9378,6,4,9,78,1,Middle-aged
157,34,17648,7,2,6,33,1,Middle-aged
178,68,16921,1,9,8,55,1,Senior
172,52,10154,8,7,5,18,1,Senior
156,44,11256,2,2,0,12,1,Middle-aged
152,40,11451,9,3,7,74,1,Middle-aged
159,36,6934,1,5,1,21,1,Middle-aged
159,42,18246,0,1,8,97,1,Middle-aged
168,76,6076,8,6,6,78,1,Senior
163,62,10200,7,4,6,73,0,Senior
151,36,6639,10,9,9,26,0,Middle-aged
177,77,14584,3,4,9,79,1,Senior
150,33,11385,6,4,4,21,0,Middle-aged
172,48,13222,2,1,7,22,1,Middle-aged
172,39,12996,2,9,9,55,1,Middle-aged
177,49,5703,3,8,0,46,1,Middle-aged
167,38,14060,1,2,2,41,0,Middle-aged
156,72,10480,9,6,8,5,1,Senior
178,58,13424,3,4,0,44,1,Senior
157,75,12777,9,9,7,16,1,Senior
150,32,18345,2,9,5,35,1,Middle-aged
174,37,10362,7,4,9,5,1,Middle-aged
172,42,5950,10,3,4,62,1,Middle-aged
152,65,13250,1,9,5,90,0,Senior
173,52,7818,10,5,4,26,0,Senior
172,58,8600,8,6,8,61,1,Senior
176,59,16341,2,6,1,51,0,Senior
180,37,13493,3,7,9,69,1,Middle-aged
178,28,12845,9,4,5,56,1,Young
157,52,16042,9,6,3,50,0,Senior
171,51,7944,2,3,2,36,0,Senior
174,80,19333,2,8,4,24,0,Senior
164,73,11255,7,4,1,79,0,Senior
154,36,12580,7,2,2,30,0,Middle-aged
152,38,15115,5,4,6,69,1,Middle-aged
168,46,13508,3,8,0,48,1,Middle-aged
150,25,15080,0,7,1,22,0,Young
177,54,10264,3,0,2,33,0,Senior
164,75,15907,7,4,9,69,1,Senior
157,56,17977,5,5,6,96,1,Senior
151,53,15073,1,9,3,50,1,Senior
152,39,19241,2,1,7,23,1,Middle-aged
173,44,17090,6,5,7,10,0,Middle-aged
163,23,17305,10,8,0,36,0,Young
173,29,12518,10,3,4,17,1,Young
163,29,13122,3,2,0,53,0,Young
160,43,6178,3,8,6,91,0,Middle-aged
165,40,8855,4,1,3,8,1,Middle-aged
153,30,18817,7,8,7,44,0,Young
169,46,18065,6,9,7,61,0,Middle-aged
154,35,17647,8,1,8,6,0,Middle-aged
171,45,13523,4,9,5,71,1,Middle-aged
170,80,11037,0,2,6,90,1,Senior
163,80,5527,3,6,6,81,0,Senior
180,49,7059,5,1,4,37,1,Middle-aged
172,68,14290,5,0,6,54,0,Senior
165,35,5211,8,8,8,23,0,Middle-aged
167,26,6714,9,5,3,91,1,Young
156,35,7688,4,8,1,57,1,Middle-aged
159,54,15522,4,2,7,51,1,Senior
156,77,8266,5,2,6,58,1,Senior
150,35,10149,10,9,5,19,1,Middle-aged
172,59,14224,5,2,6,27,0,Senior
170,31,6332,2,1,2,89,0,Middle-aged
168,54,18621,5,5,5,25,0,Senior
165,68,11820,7,2,9,21,0,Senior
178,40,19761,5,4,6,25,1,Middle-aged
168,69,15032,10,4,6,51,1,Senior
153,62,10891,4,9,4,71,1,Senior
178,55,19015,2,2,2,35,1,Senior
177,67,9686,0,2,1,70,0,Senior
167,36,19002,4,0,6,50,1,Middle-aged
151,51,15330,5,5,3,15,1,Senior
150,60,17743,5,2,1,24,1,Senior
164,25,9091,5,0,7,49,0,Young
154,43,5443,2,9,1,68,1,Middle-aged
169,46,17366,3,8,5,7,1,Middle-aged
160,39,14690,2,0,3,94,1,Middle-aged
159,44,5926,1,4,8,81,0,Middle-aged
180,21,11246,7,4,4,54,1,Young
151,28,5622,6,1,3,38,0,Young
152,47,14671,10,0,7,94,1,Middle-aged
172,72,8037,7,5,2,45,0,Senior
172,80,16577,5,6,8,9,0,Senior
161,57,16510,10,8,7,55,0,Senior
169,22,5233,6,7,7,83,0,Young
154,39,14809,0,9,9,52,0,Middle-aged
154,25,7691,9,2,4,77,1,Young
155,58,15222,4,8,0,49,0,Senior
179,52,12402,3,0,9,55,1,Senior
158,74,5386,9,5,8,83,0,Senior
151,20,6634,2,9,1,70,1,
170,56,13110,1,1,0,76,1,Senior
161,25,9133,8,9,5,79,0,Young
152,64,14376,7,8,0,3,0,Senior
169,53,10581,9,8,9,68,0,Senior
175,66,6967,1,7,9,38,1,Senior
171,34,10568,5,6,9,70,0,Middle-aged
161,64,12284,2,5,6,49,1,Senior
173,45,13432,2,1,6,92,0,Middle-aged
166,76,10145,4,3,0,8,1,Senior
159,33,10767,6,9,9,95,0,Middle-aged
179,77,13753,6,6,4,85,0,Senior
173,73,6999,10,5,2,45,0,Senior
176,26,9901,9,8,1,29,0,Young
163,65,15121,0,4,4,79,1,Senior
172,77,19633,10,5,4,49,1,Senior
166,50,18092,6,9,1,24,0,Middle-aged
167,43,19489,6,5,5,21,1,Middle-aged
168,78,7779,5,7,6,23,1,Senior
166,50,14867,5,7,0,95,0,Middle-aged
163,48,15707,1,5,2,98,1,Middle-aged
158,61,11192,2,7,3,28,0,Senior
157,51,6677,2,6,1,32,1,Senior
151,36,17333,2,0,9,22,0,Middle-aged
162,33,16938,1,4,4,62,1,Middle-aged
174,59,16548,8,9,3,67,1,Senior
156,55,14843,5,9,1,73,1,Senior
158,77,9177,1,9,0,6,1,Senior
171,67,12211,2,4,7,65,1,Senior
171,43,12873,9,9,1,22,0,Middle-aged
160,64,8841,5,8,3,51,0,Senior
163,73,12098,3,6,9,68,0,Senior
153,46,11416,6,6,4,57,0,Middle-aged
175,44,15633,5,9,1,72,1,Middle-aged
175,78,19097,5,1,9,55,0,Senior
178,51,9885,2,7,8,42,1,Senior
162,71,5594,10,2,1,52,0,Senior
151,37,19393,7,8,5,61,0,Middle-aged
172,65,7612,8,5,6,19,1,Senior
154,37,17288,5,8,5,1,0,Middle-aged
160,56,11359,1,8,3,41,0,Senior
155,45,6496,0,6,0,63,0,Middle-aged
167,28,8555,2,9,1,88,0,Young
170,79,9861,2,7,9,48,1,Senior
159,54,9766,7,1,9,81,0,Senior
153,27,8358,4,4,5,32,1,Young
158,39,19846,0,2,7,50,1,Middle-aged
155,73,14793,10,0,2,14,1,Senior
151,61,5914,3,5,6,17,0,Senior
166,41,6844,6,8,8,96,0,Middle-aged
154,38,6995,4,1,3,97,0,Middle-aged
174,49,12625,9,8,6,30,0,Middle-aged
155,72,5094,5,7,6,51,1,Senior
175,47,13684,9,8,9,98,0,Middle-aged
161,54,8069,3,4,8,92,0,Senior
172,62,5149,1,1,2,62,1,Senior
170,30,6046,8,9,0,24,1,Young
159,50,7803,1,9,7,63,1,Middle-aged
171,68,10334,1,5,3,14,0,Senior
170,67,13590,1,6,1,34,1,Senior
176,58,19745,0,2,4,59,0,Senior
174,55,19466,2,5,3,65,1,Senior
180,49,18142,5,5,0,86,0,Middle-aged
155,42,19483,6,7,6,33,0,Middle-aged
176,38,9476,0,0,3,58,1,Middle-aged
157,31,12276,4,3,7,18,0,Middle-aged
151,34,5551,4,0,8,12,1,Middle-aged
161,50,13486,0,7,7,74,0,Middle-aged
162,62,6143,3,1,0,66,0,Senior
174,56,5455,9,7,7,2,0,Senior
170,56,14745,0,2,4,70,1,Senior
156,34,13360,0,7,0,84,0,Middle-aged
159,48,17997,6,5,8,28,0,Middle-aged
162,69,6946,6,0,8,42,1,Senior
166,62,11115,2,6,6,3,1,Senior
175,45,12310,6,6,6,48,0,Middle-aged
170,63,11180,2,5,0,89,0,Senior
177,21,10817,1,0,8,87,0,Young
179,39,10380,9,4,0,13,1,Middle-aged
175,34,11374,3,0,6,57,1,Middle-aged
163,71,13445,9,0,8,88,0,Senior
151,23,15568,2,5,8,3,0,Young
177,41,13070,6,7,4,63,1,Middle-aged
171,69,6320,0,0,5,38,0,Senior
160,57,12123,5,1,1,59,1,Senior
150,42,11153,1,4,1,28,0,Middle-aged
168,78,11589,7,7,9,26,1,Senior
170,45,16075,4,3,8,84,0,Middle-aged
153,70,8607,2,4,0,91,1,Senior
168,30,15317,9,9,9,65,0,Young
175,47,16688,6,4,4,74,0,Middle-aged
178,75,15432,10,2,6,74,1,Senior
170,21,5400,1,5,9,61,0,Young
160,78,15348,4,4,5,57,1,Senior
157,27,11042,10,1,5,1,0,Young
160,48,19598,7,9,5,32,1,Middle-aged
153,30,15568,10,3,7,32,1,Young
166,56,5362,0,3,6,27,1,Senior
176,37,17130,0,6,4,13,1,Middle-aged
156,74,8851,2,6,9,17,0,Senior
157,69,8412,2,8,1,28,0,Senior
152,33,15498,6,9,9,89,1,Middle-aged
171,73,18646,5,1,5,52,1,Senior
151,29,5084,6,5,9,36,0,Young
172,54,18833,3,1,4,47,0,Senior
164,28,6824,10,8,3,66,0,Young
173,54,17077,1,1,9,32,0,Senior
171,30,13499,1,5,4,32,0,Young
171,63,17549,9,7,8,70,1,Senior
154,31,15113,0,5,1,95,0,Middle-aged
173,22,13822,8,2,5,55,0,Young
150,72,9775,6,4,8,73,1,Senior
175,58,18152,9,3,9,80,0,Senior
153,33,12868,2,0,4,89,0,Middle-aged
164,75,12619,1,4,5,40,0,Senior
169,47,12418,2,9,9,28,1,Middle-aged
168,30,7371,6,4,3,81,0,Young
152,58,12068,4,6,4,31,0,Senior
169,44,8300,2,6,7,87,1,Middle-aged
160,40,10821,8,1,0,31,1,Middle-aged
166,29,19139,1,3,0,26,0,Young
179,62,12803,6,0,9,4,0,Senior
176,34,16859,9,4,3,58,0,Middle-aged
162,38,12464,5,4,9,79,0,Middle-aged
160,67,5726,5,3,2,23,1,Senior
151,41,18548,6,9,4,69,0,Middle-aged
158,40,12121,5,6,9,60,1,Middle-aged
175,79,14840,1,5,7,43,0,Senior
151,71,9312,10,9,0,89,0,Senior
170,63,13000,4,2,4,94,1,Senior
158,51,14461,2,1,4,26,1,Senior
158,69,9543,8,3,1,67,1,Senior
157,42,13014,7,8,4,68,0,Middle-aged
166,32,5318,9,9,7,55,1,Middle-aged
150,24,8475,10,4,9,47,0,Young
174,23,19197,1,0,6,82,1,Young
178,47,19372,0,2,1,59,0,Middle-aged
160,33,15970,3,8,5,75,1,Middle-aged
157,27,16250,3,6,9,75,1,Young
159,28,10153,9,2,0,16,0,Young
174,76,9134,10,0,9,58,0,Senior
156,70,6602,1,3,9,89,1,Senior
152,54,7256,6,8,2,1,1,Senior
152,56,14021,2,6,5,90,0,Senior
167,40,14047,6,4,8,45,0,Middle-aged
154,77,12319,6,5,0,94,0,Senior
161,37,12532,0,0,5,6,0,Middle-aged
161,52,12366,5,6,1,91,1,Senior
168,27,7648,3,4,8,52,1,Young
179,70,11903,10,6,1,19,1,Senior
155,68,6858,7,4,2,43,1,Senior
151,36,6102,7,4,1,19,0,Middle-aged
161,62,18788,2,2,3,39,1,Senior
168,50,7481,3,4,3,32,0,Middle-aged
154,53,6820,0,7,9,65,1,Senior
161,25,18129,9,7,0,89,0,Young
176,41,15271,1,1,7,47,0,Middle-aged
176,33,8158,6,0,4,13,1,Middle-aged
166,22,15632,10,1,7,74,1,Young
178,31,8684,6,6,5,82,0,Middle-aged
166,55,12411,8,2,1,36,0,Senior
159,31,14447,9,7,6,86,1,Middle-aged
174,64,16149,8,3,9,70,1,Senior
172,21,8651,8,9,8,27,1,Young
166,21,15431,5,9,6,72,1,Young
164,34,15131,7,7,4,24,0,Middle-aged
161,42,12707,8,1,3,20,0,Middle-aged
179,48,13461,6,4,7,86,1,Middle-aged
165,36,13107,3,5,5,9,1,Middle-aged
173,51,11881,3,0,4,39,1,Senior
168,26,11220,5,0,6,83,0,Young
157,49,9830,10,8,2,1,1,Middle-aged
180,47,17256,3,4,8,11,1,Middle-aged
170,33,9979,10,3,3,74,1,Middle-aged
166,63,12334,6,0,3,1,1,Senior
172,49,19619,7,2,7,91,0,Middle-aged
154,36,8775,7,3,5,81,0,Middle-aged
171,51,14304,7,4,0,44,1,Senior
165,65,19879,1,9,1,51,0,Senior
155,25,5648,9,4,8,17,0,Young
157,70,14371,1,9,5,66,0,Senior
174,43,19585,1,7,6,23,1,Middle-aged
167,25,15334,1,2,8,41,0,Young
174,46,5016,3,6,2,59,0,Middle-aged
161,37,13308,4,5,4,74,0,Middle-aged
164,43,18270,3,9,4,94,0,Middle-aged
176,56,11476,4,9,9,99,1,Senior
175,75,10942,3,9,6,25,1,Senior
158,43,6545,6,5,1,17,1,Middle-aged
162,57,16343,9,9,3,19,0,Senior
175,53,7693,0,8,3,82,1,Senior
164,59,12599,0,6,7,82,1,Senior
159,66,9089,1,6,9,46,0,Senior
165,34,11259,0,0,2,35,0,Middle-aged
156,30,10058,9,0,1,74,1,Young
166,41,14468,9,8,8,23,1,Middle-aged
172,73,8240,10,8,3,86,0,Senior
175,43,9942,2,9,8,44,0,Middle-aged
170,20,19651,5,2,5,9,0,
171,37,8788,9,7,0,32,1,Middle-aged
175,63,11953,10,8,2,90,1,Senior
156,31,5371,5,0,6,93,0,Middle-aged
163,76,15999,0,2,8,59,1,Senior
164,62,12020,5,5,7,42,1,Senior
170,47,12120,4,3,4,62,0,Middle-aged
156,59,10702,6,7,7,19,0,Senior
158,79,13347,5,8,1,93,0,Senior
168,26,7661,6,6,2,35,1,Young
165,42,12180,1,0,7,76,0,Middle-aged
157,40,11651,0,1,8,8,1,Middle-aged
167,53,13656,6,0,9,89,0,Senior
176,30,9878,8,8,7,91,1,Young
172,41,18091,1,3,3,43,0,Middle-aged
178,61,9315,6,9,5,45,1,Senior
167,54,11158,2,7,4,6,0,Senior
180,71,14965,5,4,3,13,0,Senior
179,48,13308,2,4,8,11,0,Middle-aged
169,61,11474,9,4,9,70,1,Senior
156,47,15295,10,4,2,69,1,Middle-aged
152,78,6374,10,2,0,7,0,Senior
167,37,16395,10,5,6,55,1,Middle-aged
176,33,19306,4,0,9,55,1,Middle-aged
159,37,12393,1,7,7,19,0,Middle-aged
156,47,9403,7,3,2,6,0,Middle-aged
166,43,8546,7,5,2,89,0,Middle-aged
163,27,8977,6,1,5,9,1,Young
180,61,17509,5,1,1,20,0,Senior
173,73,14388,0,7,5,25,0,Senior
152,64,8411,7,0,4,50,0,Senior
161,72,13988,0,7,6,72,1,Senior
177,27,18817,7,9,8,50,0,Young
162,23,8892,10,9,8,38,0,Young
151,46,12324,1,0,0,66,1,Middle-aged
152,55,13342,7,8,6,57,1,Senior
154,24,19008,9,0,2,22,1,Young
160,52,8249,3,3,3,56,1,Senior
157,68,18844,6,8,1,36,0,Senior
175,53,5111,4,0,0,51,0,Senior
172,49,5682,7,8,9,68,1,Middle-aged
172,27,6161,5,7,2,1,1,Young
161,58,12400,4,4,9,48,0,Senior
156,66,7379,0,5,8,33,0,Senior
164,45,18853,2,4,0,24,0,Middle-aged
173,76,18180,9,3,2,49,1,Senior
166,56,10426,8,9,4,69,0,Senior
153,53,13352,8,3,2,58,1,Senior
178,26,6425,4,9,3,48,0,Young
171,59,8661,2,7,3,57,0,Senior
174,47,13469,5,7,0,64,1,Middle-aged
162,58,16583,4,8,5,99,1,Senior
167,58,14748,0,2,6,53,1,Senior
150,47,12040,1,9,6,60,0,Middle-aged
165,33,9592,4,7,5,90,0,Middle-aged
162,72,12530,8,2,6,43,0,Senior
159,69,18683,3,1,2,41,1,Senior
161,57,15107,8,1,4,26,1,Senior
179,23,17942,2,8,6,59,0,Young
151,61,8107,0,3,9,49,0,Senior
172,37,5302,5,4,4,64,1,Middle-aged
152,63,9533,9,1,9,5,1,Senior
159,67,7773,6,8,1,44,0,Senior
151,44,12199,3,6,5,18,0,Middle-aged
179,26,9281,9,2,6,57,1,Young
176,57,16437,4,5,1,89,0,Senior
172,47,18877,3,6,9,40,1,Middle-aged
162,24,9768,2,5,7,46,1,Young
162,22,18561,0,9,4,58,1,Young
167,63,6000,5,9,7,85,1,Senior
152,50,17026,9,5,2,24,1,Middle-aged
176,66,17198,4,7,1,28,1,Senior
156,61,19614,10,7,6,46,1,Senior
163,77,17970,0,4,4,68,1,Senior
169,39,6718,4,3,4,72,1,Middle-aged
178,38,12169,5,4,7,54,0,Middle-aged
179,67,12361,9,8,8,33,0,Senior
166,79,8830,4,9,7,67,0,Senior
178,30,12154,0,5,9,84,1,Young
179,59,10020,4,2,1,35,1,Senior
170,22,16373,9,2,9,39,0,Young
161,42,19715,0,0,6,47,1,Middle-aged
174,26,7882,10,4,4,71,0,Young
165,42,5998,2,5,6,91,1,Middle-aged
173,80,5284,1,7,2,5,0,Senior
161,26,13612,0,8,3,37,1,Young
164,65,7160,3,6,6,1,1,Senior
174,53,8065,1,0,1,86,0,Senior
159,61,15467,4,6,1,56,1,Senior
179,38,6494,9,9,0,7,0,Middle-aged
174,77,17076,0,8,0,64,0,Senior
180,28,9623,9,3,0,8,1,Young
156,67,7543,0,6,5,94,0,Senior
169,70,17318,10,8,4,64,1,Senior
154,37,17449,9,0,9,57,0,Middle-aged
150,60,15033,3,9,7,28,0,Senior
179,67,9800,6,8,4,26,1,Senior
166,64,13913,1,3,0,34,1,Senior
152,61,6401,1,7,7,96,0,Senior
162,44,5445,0,2,5,22,0,Middle-aged
163,71,15983,4,1,7,20,1,Senior
173,33,9522,5,7,1,14,0,Middle-aged
179,63,8767,5,7,9,23,1,Senior
167,44,7551,1,2,7,67,1,Middle-aged
153,38,10646,6,7,5,19,0,Middle-aged
167,58,15159,5,5,0,78,1,Senior
179,74,8888,7,9,0,39,1,Senior
154,34,9816,5,8,9,37,1,Middle-aged
174,35,7731,8,9,4,99,1,Middle-aged
165,46,19089,9,5,6,1,1,Middle-aged
150,59,12699,1,7,3,19,1,Senior
170,29,7629,6,1,9,15,1,Young
163,23,12687,4,0,4,89,0,Young
164,70,15156,0,9,9,1,0,Senior
158,38,6057,2,9,2,31,0,Middle-aged
164,47,19332,3,1,1,52,0,Middle-aged
166,40,18023,1,3,1,43,0,Middle-aged
174,78,11834,6,9,4,46,1,Senior
173,66,13949,0,8,3,86,1,Senior
153,33,6795,2,6,1,50,0,Middle-aged
161,52,14835,8,8,4,20,0,Senior
176,67,9849,10,8,9,62,1,Senior
175,29,13215,1,8,8,43,0,Young
154,38,14431,4,7,7,5,0,Middle-aged
178,49,9150,3,5,8,79,0,Middle-aged
154,41,16289,2,9,8,66,0,Middle-aged
160,22,14496,4,6,7,12,1,Young
177,56,11947,5,1,8,57,0,Senior
155,60,11470,0,0,3,60,0,Senior
156,37,18257,1,4,7,55,0,Middle-aged
173,30,19521,0,7,1,71,0,Young
180,67,15734,2,2,8,66,1,Senior
163,21,12179,7,6,8,72,1,Young
173,31,8712,7,4,2,73,1,Middle-aged
160,73,17147,3,9,5,27,1,Senior
179,25,17721,5,7,6,28,0,Young
162,62,17495,8,5,2,37,0,Senior
151,78,17420,6,5,4,79,1,Senior
174,59,10458,1,6,0,19,1,Senior
156,63,10315,10,6,2,94,0,Senior
169,48,10381,1,3,7,51,1,Middle-aged
153,78,14497,2,9,2,13,1,Senior
176,49,17656,7,9,7,45,1,Middle-aged
157,21,8174,9,9,8,6,0,Young
169,28,18494,8,7,5,94,1,Young
178,66,19758,2,5,6,1,1,Senior
180,21,16820,8,7,5,25,0,Young
171,48,11387,9,6,7,99,1,Middle-aged
170,52,13973,7,0,6,26,0,Senior
168,29,11767,4,3,9,13,0,Young
162,53,5566,10,6,0,19,1,Senior
163,63,9622,9,8,2,10,1,Senior
159,74,9132,2,1,2,45,1,Senior
160,27,17465,10,4,2,71,1,Young
151,56,13830,6,8,3,15,1,Senior
174,73,16892,8,8,0,87,1,Senior
175,79,11995,5,5,1,31,1,Senior
158,52,9167,2,6,4,8,0,Senior
166,66,15591,4,8,5,30,1,Senior
175,25,7670,6,9,8,98,1,Young
152,63,14364,7,7,1,97,1,Senior
173,59,14912,3,9,8,1,1,Senior
155,64,13296,1,5,6,16,0,Senior
154,38,6682,9,5,8,11,1,Middle-aged
154,51,17508,1,6,3,27,1,Senior
171,46,15041,2,6,6,86,0,Middle-aged
164,20,14054,7,1,0,40,0,
172,62,16637,0,8,7,83,1,Senior
166,71,15757,6,3,6,44,0,Senior
158,52,13490,5,9,6,70,1,Senior
152,59,16100,1,8,1,57,0,Senior
169,51,17329,8,9,9,48,1,Senior
175,24,5770,4,2,8,40,0,Young
166,36,15731,1,4,7,39,0,Middle-aged
178,27,14654,2,4,0,84,0,Young
176,76,8854,6,6,0,3,1,Senior
159,61,8118,6,3,4,55,1,Senior
152,53,7132,9,3,1,1,1,Senior
167,28,14901,0,0,0,23,1,Young
167,75,12225,9,5,9,67,1,Senior
179,42,5990,10,3,7,62,1,Middle-aged
166,54,5710,10,9,3,34,0,Senior
173,69,9304,3,9,1,17,0,Senior
152,26,10367,5,4,4,48,0,Young
152,34,18522,7,8,5,91,0,Middle-aged
155,72,5038,2,3,7,53,0,Senior
162,73,6275,2,0,6,61,0,Senior
173,39,12069,7,8,6,87,1,Middle-aged
178,69,19114,7,4,0,11,1,Senior
164,44,9857,7,9,2,15,1,Middle-aged
174,22,6436,0,6,2,90,1,Young
158,79,16185,7,2,6,11,1,Senior
153,74,14661,7,3,1,7,0,Senior
163,65,7099,1,9,9,47,0,Senior
154,43,13565,8,8,6,8,0,Middle-aged
151,53,12693,6,9,8,5,1,Senior
160,65,18218,7,0,0,81,0,Senior
158,41,9251,1,4,1,87,0,Middle-aged
173,30,9025,3,7,5,66,0,Young
152,67,18853,6,9,1,91,0,Senior
176,27,14305,5,6,1,63,1,Young
177,58,15918,6,3,4,21,1,Senior
178,62,15590,0,6,6,71,1,Senior
158,54,11212,7,0,3,90,1,Senior
152,68,8234,6,5,5,94,0,Senior
174,65,14457,3,8,2,12,0,Senior
151,57,12662,0,2,3,11,1,Senior
161,27,12550,7,3,3,54,0,Young
159,73,8123,9,7,3,81,0,Senior
158,56,5653,6,4,0,10,1,Senior
164,46,9158,7,4,3,16,1,Middle-aged
157,47,13700,9,0,3,15,0,Middle-aged
174,59,15531,0,5,5,58,1,Senior
154,53,16354,4,1,8,79,0,Senior
160,51,14879,8,0,9,84,1,Senior
176,34,10543,4,5,5,4,1,Middle-aged
151,63,18980,9,4,5,96,1,Senior
173,36,14580,2,4,6,22,0,Middle-aged
